audio_file,answer,option1,option2,option3,option4,option5,target
F_sh_u_T1.wav,sh,s,x,sh,zh,ch,sib
F_x_a_T1.wav,x,s,x,j,q,sh,sib
F_z_a_T1.wav,z,z,s,j,c,zh,sib
F_x_i_T1.wav,x,s,x,j,q,sh,sib
F_z_u_T1.wav,z,z,s,j,c,zh,sib
F_d_a_T4.wav,4,1,2,3,4,,tone
F_q_a_T1.wav,q,c,j,x,q,ch,sib
F_q_u_T1.wav,q,c,j,x,q,ch,sib
F_d_a_T1.wav,1,1,2,3,4,,tone
F_p_a_T3.wav,3,1,2,3,4,,tone
F_g_a_T1.wav,1,1,2,3,4,,tone
F_c_u_T1.wav,c,c,z,s,q,ch,sib
F_k_a_T2.wav,2,1,2,3,4,,tone
F_p_a_T1.wav,1,1,2,3,4,,tone
F_zh_i_T1.wav,zh,z,j,zh,ch,sh,sib
F_ch_a_T1.wav,ch,c,q,sh,zh,ch,sib
F_ch_i_T1.wav,ch,c,q,sh,zh,ch,sib
F_zh_a_T1.wav,zh,z,j,zh,ch,sh,sib
F_p_a_T4.wav,4,1,2,3,4,,tone
F_g_a_T3.wav,3,1,2,3,4,,tone
F_j_a_T1.wav,j,z,x,q,j,zh,sib
F_sh_i_T1.wav,sh,s,x,sh,zh,ch,sib
F_o_T1.wav,1,1,2,3,4,,tone
F_c_a_T1.wav,c,c,z,s,q,ch,sib
F_ch_u_T1.wav,ch,c,q,sh,zh,ch,sib
F_p_a_T2.wav,2,1,2,3,4,,tone
F_sh_a_T1.wav,sh,s,x,sh,zh,ch,sib
F_b_a_T3.wav,3,1,2,3,4,,tone
F_b_a_T4.wav,4,1,2,3,4,,tone
F_s_u_T1.wav,s,c,s,x,z,sh,sib
F_t_a_T2.wav,2,1,2,3,4,,tone
F_k_a_T3.wav,3,1,2,3,4,,tone
F_e_T1.wav,1,1,2,3,4,,tone
F_s_a_T1.wav,s,c,s,x,z,sh,sib
F_g_a_T2.wav,2,1,2,3,4,,tone
F_t_a_T4.wav,4,1,2,3,4,,tone
F_t_a_T3.wav,3,1,2,3,4,,tone
F_z_i_T1.wav,z,z,s,j,c,zh,sib
F_d_a_T3.wav,3,1,2,3,4,,tone
F_g_a_T4.wav,4,1,2,3,4,,tone
F_t_a_T1.wav,1,1,2,3,4,,tone
F_k_a_T4.wav,4,1,2,3,4,,tone
F_b_a_T1.wav,1,1,2,3,4,,tone
F_yu_T1.wav,1,1,2,3,4,,tone
F_zh_u_T1.wav,zh,z,j,zh,ch,sh,sib
F_q_i_T1.wav,q,c,j,x,q,ch,sib
F_x_u_T1.wav,x,s,x,j,q,sh,sib
F_b_a_T2.wav,2,1,2,3,4,,tone
F_u_T1.wav,1,1,2,3,4,,tone
F_c_i_T1.wav,c,c,z,s,q,ch,sib
F_j_u_T1.wav,j,z,x,q,j,zh,sib
F_a_T1.wav,1,1,2,3,4,,tone
F_s_i_T1.wav,s,c,s,x,z,sh,sib
F_i_T1.wav,1,1,2,3,4,,tone
F_j_i_T1.wav,j,z,x,q,j,zh,sib
F_k_a_T1.wav,1,1,2,3,4,,tone
F_d_a_T2.wav,2,1,2,3,4,,tone
M_sh_u_T1.wav,sh,s,x,sh,zh,ch,sib
M_x_a_T1.wav,x,s,x,j,q,sh,sib
M_z_a_T1.wav,z,z,s,j,c,zh,sib
M_x_i_T1.wav,x,s,x,j,q,sh,sib
M_z_u_T1.wav,z,z,s,j,c,zh,sib
M_d_a_T4.wav,4,1,2,3,4,,tone
M_q_a_T1.wav,q,c,j,x,q,ch,sib
M_q_u_T1.wav,q,c,j,x,q,ch,sib
M_d_a_T1.wav,1,1,2,3,4,,tone
M_p_a_T3.wav,3,1,2,3,4,,tone
M_g_a_T1.wav,1,1,2,3,4,,tone
M_c_u_T1.wav,c,c,z,s,q,ch,sib
M_k_a_T2.wav,2,1,2,3,4,,tone
M_p_a_T1.wav,1,1,2,3,4,,tone
M_zh_i_T1.wav,zh,z,j,zh,ch,sh,sib
M_ch_a_T1.wav,ch,c,q,sh,zh,ch,sib
M_ch_i_T1.wav,ch,c,q,sh,zh,ch,sib
M_zh_a_T1.wav,zh,z,j,zh,ch,sh,sib
M_p_a_T4.wav,4,1,2,3,4,,tone
M_g_a_T3.wav,3,1,2,3,4,,tone
M_j_a_T1.wav,j,z,x,q,j,zh,sib
M_sh_i_T1.wav,sh,s,x,sh,zh,ch,sib
M_o_T1.wav,1,1,2,3,4,,tone
M_c_a_T1.wav,c,c,z,s,q,ch,sib
M_ch_u_T1.wav,ch,c,q,sh,zh,ch,sib
M_p_a_T2.wav,2,1,2,3,4,,tone
